presence,retailers,type,name,brand,min_price,max_price,sample_url
1,Jumbo,tinto,Vino Tinto dedalo Red Blend Semi Sweet 750ml,DEDALO,43990,43990,https://www.jumbocolombia.com/vino-tinto-dedalo-red-blend-semi-sweet-750ml-402661/p
1,Olímpica,tinto,Vino Tinto Diablo Dark Red 750 Ml,Casillero Diablo,110500,110500,https://www.olimpica.com/vino-tinto-diablo-dark-red-750-ml-7804320746104-2168654/p
1,Vinos El Kiosco,tinto,Vino Tinto Diablo Dark Red Blend X 750,,119900,119900,https://www.vinoselkiosco.com/tienda/vino-diablo-dark-red-blend-x-750-cc/
1,Jumbo,tinto,Vino Tinto Diablo Purple Malbec 750ml,DIABLO,121690,121690,https://www.jumbocolombia.com/vino-tinto-diablo-purple-malbec-750ml-329584/p
1,Vinos El Kiosco,tinto,Vino Tinto Doña Domingacabernet Sauvignon 750,,53000,53000,https://www.vinoselkiosco.com/tienda/vino-tinto-dona-domingacabernet-sauvignon-750/
1,Vinos El Kiosco,tinto,Vino Tinto Doña Domingacarmenere 750,,53000,53000,https://www.vinoselkiosco.com/tienda/vino-tinto-dona-domingacarmenere-750/
1,Vinos El Kiosco,tinto,Vino Tinto Doña Domingasyrah 750,,53000,53000,https://www.vinoselkiosco.com/tienda/vino-tinto-dona-domingasyrah-750/
1,Jumbo,tinto,Vino Tinto Dona Paula Blend Altitude 1100Mts750ml,DONA PAULA,177990,177990,https://www.jumbocolombia.com/vino-tinto-dona-paula-blend-altitude-1100mts750ml-303363/p
1,Jumbo,tinto,Vino Tinto Dona Paula Blend Altitude 1350Mts750ml,DONA PAULA,177990,177990,https://www.jumbocolombia.com/vino-tinto-dona-paula-blend-altitude-1350mts750ml-303373/p
1,Jumbo,tinto,Vino Tinto Dona Paula Cabernet Sauv.Estate 750 ml,DONA PAULA,103990,103990,https://www.jumbocolombia.com/vino-tinto-dona-paula-cabernet-sauv-estate-750-ml-32560/p
1,Jumbo,tinto,Vino Tinto Dona Paula Los Cardos Caber.Sauv.750ml,DONA PAULA,55990,55990,https://www.jumbocolombia.com/vino-tinto-dona-paula-los-cardos-caber-sauv-750ml-303368/p
1,Vinos El Kiosco,tinto,Vino Tinto Doña Paula Seleccion De Bodega Malbec,,406600,406600,https://www.vinoselkiosco.com/tienda/dona-paula-seleccion-de-bodega-malbec/
1,Vinos El Kiosco,tinto,Vino Tinto Duckhorn Napa Valley Merlot,,393800,393800,https://www.vinoselkiosco.com/tienda/duckhorn-napa-valley-merlot/
1,Olímpica,tinto,Vino Tinto Due Fratelli Kosher 750 Ml,Product Ingrid,37980,37980,https://www.olimpica.com/vino-tint-due-fratelli-kosher-750ml/p
1,Jumbo,tinto,Vino Tinto El Coto Crianza Doc Rioja 750 ml,EL COTO,87590,87590,https://www.jumbocolombia.com/vino-tinto-el-coto-crianza-doc-rioja-750-ml-260511/p
