presence,retailers,type,name,brand,min_price,max_price,sample_url
1,Descorcha,tinto,Albahra - Tintorera (España),Diego Edwards,17010,17010,https://descorcha.com/products/albahra-tintorera-espana
1,Descorcha,tinto,Almaviva Ensamblaje,Comercial Peumo,280000,280000,https://descorcha.com/products/almaviva-ensamblaje-2022
1,Descorcha,tinto,Almaviva EPU Ensamblaje,Comercial Peumo,59990,59990,https://descorcha.com/products/almaviva-epu-ensamblaje
1,Descorcha,tinto,Alto Tajamar Syrah,Comercial Peumo,79992,79992,https://descorcha.com/products/alto-tajamar-syrah
1,Descorcha,tinto,Alyan Gran Cuvee Cabernet Sauvignon,Alyan,7494,7494,https://descorcha.com/products/alyan-gran-cuvee-cabernet-sauvignon
1,Descorcha,tinto,Alyan Gran Reserva Merlot,Alyan,5753,5753,https://descorcha.com/products/alyan-gran-reserva-merlot
1,Descorcha,tinto,Alyan Panacea Ensamblaje,Alyan,16443,16443,https://descorcha.com/products/alyan-panacea-ensamblaje
1,Descorcha,tinto,Amplus Carignan 750cc,La vinoteca,14094,14094,https://descorcha.com/products/amplus-carignan-750cc
1,Descorcha,tinto,Andes Soul Ensamblaje,Emiliana,8534,8534,https://descorcha.com/products/andes-soul-ensamblaje
1,Descorcha,tinto,Aquitania Carmenere,Aquitania,10320,10320,https://descorcha.com/products/aquitania-carmenere
1,Descorcha,tinto,Argento Estate Organic Malbec,Emiliana,5318,5318,https://descorcha.com/products/argento-estate-organic-malbec
1,Descorcha,tinto,Armador Carmenere,Premium Brands,6094,6094,https://descorcha.com/products/armador-carmenere
1,Descorcha,tinto,Barrel Reserve,La vinoteca,7194,7194,https://descorcha.com/products/barrel-reserve
1,VentaVinos,tinto,Bestia | Icono | Strong Red Wine | Estuche Madera | 750 cc,Bestias Wines,34993,34993,https://www.ventavinos.cl/products/bestia-icono
1,VentaVinos,tinto,Bestia Azul | Reserva | Cepas Tintas | Botella 750 cc,Bestias Wines,6990,6990,https://www.ventavinos.cl/products/bestia-azul-reserva-1
1,VentaVinos,tinto,Bestia Azul | Reserva | Cepas Tintas | Caja 6 Botellas 750 cc,Bestias Wines,32990,32990,https://www.ventavinos.cl/products/bestia-azul-reserva
1,Descorcha,tinto,Bestia Azul Reserva Superior Merlot,Bestias Wines,4614,4614,https://descorcha.com/products/bestia-azul-reserva-superior-merlot
1,VentaVinos,tinto,Bestia Gold | Limited Edition | Carmenere| Caja Madera 6 botellas 750 cc,Bestias Wines,97990,97990,https://www.ventavinos.cl/products/bestia-gold-limited-edition-caja-madera
1,Descorcha,tinto,Bestia Gold Grand Cru Carmenere,Bestias Wines,12095,12095,https://descorcha.com/products/bestia-gold-grand-cru-carmenere
1,Descorcha,tinto,Bestia Icono 666 Syrah/C.Sauv,Bestias Wines,29994,29994,https://descorcha.com/products/bestia-icono-666-syrah-c-sauv
1,VentaVinos,tinto,Bestia Love | Gran Reserva | Blend | 750 cc,Bestias Wines,7990,7990,https://www.ventavinos.cl/products/bestia-love-reserva-blend-750-cc
1,VentaVinos,tinto,Bestia Love | Gran Reserva | Blend | Caja 6 Botellas 750 cc,Bestias Wines,37990,37990,https://www.ventavinos.cl/products/bestia-love-reserva-blend-caja-6-bot
1,VentaVinos,tinto,Bestia Negra | Reserva De Familia | Cepas Tintas | Botella 750 cc,Bestias Wines,13990,13990,https://www.ventavinos.cl/products/bestia-negra-reserva-de-familia-1
1,VentaVinos,tinto,Bestia Negra | Reserva De Familia | Cepas Tintas | Caja 6 Botellas 750 cc,Bestias Wines,54400,54400,https://www.ventavinos.cl/products/bestia-negra-reserva-de-familia
1,VentaVinos,tinto,Bestia Origen|Premium| Carignan|  750cc,Bestias Wines,18990,18990,https://www.ventavinos.cl/products/bestia-origen-premium-carignan-750cc
1,VentaVinos,tinto,Bestia Rock | Gran Reserva | Blend | Botella 750 cc,Bestias Wines,7990,7990,https://www.ventavinos.cl/products/bestia-rock-gran-reserva-blend-caja-6-botellas-750-cc
1,VentaVinos,tinto,Bestia Rock | Gran Reserva | Blend | Caja 6 Botellas 750 cc,Bestias Wines,37964,37964,https://www.ventavinos.cl/products/bestia-rock-gran-reserva-blend-caja-6-botellas-750-cc-1
1,VentaVinos,tinto,Bestia Roja | Gran Reserva | Cepas Tintas | Botella 750 cc,Bestias Wines,8990,8990,https://www.ventavinos.cl/products/bestia-roja-gran-reserva-1
1,VentaVinos,tinto,Bestia Roja | Gran Reserva | Cepas Tintas | Caja 6 Botellas 750 cc,Bestias Wines,37425,37425,https://www.ventavinos.cl/products/bestia-roja-gran-reserva
